"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_extlifeSpan","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","not present","",""
"cert_crlDistributionPoints","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","LOW","not offered","",""
"cert_mustStapleExtension","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","--","",""
"DNS_CAArecord","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","issue=certigna.com, issue=letsencrypt.org","",""
"certificate_transparency","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","yes (certificate extension)","",""
"certs_countServer","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","3","",""
"certs_list_ordering_problem","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","LOW","yes","",""
"cert_caIssuers","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
